"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","Sleeve","ProductType","SizeChart","SizeChartMessaging","Price","MasterPrice","SalePrice","MasterSalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","InspirationID","FOB","APS","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","dyoVersionProductID","dyoVersionInspirationID","Sizes"
"540786C",,"Online","Women_s Graphic Editions","Your Choice","Hi","Canvas","Women","CREATE","Sneakers","Converse Create Chuck Taylor?",,,"dyo","Womens Size Chart","Runs true to size",75,,75,0,,,,,"Runout",,"chuTayHiCanWom1302_Digital",31998,777777777,,,,,,"pending","N",,,
"540433C","FMP540433C","Offline","Chuck Taylor All Star","Old Gold","XX-Hi","Canvas","Women","All Star","Sneakers","Chuck Taylor - Iterations","Extended Height",,"regular","Womens Size Chart","Runs true to size",,80,,0,,,06/01/13,"13 Fall","Runout",123,,,,,,,,,"pending","N",,,"030,040,050"
"540428C","FMP540428C","Offline","Jack Purcell Jane","Burgundy","Low","Textile","Women","Jack Purcell","Sneakers","Jack Purcell","Jane",,"regular","Womens Size Chart","Runs true to size",,70,,0,,,11/01/13,"13 Holiday","Runout",87,,,,,,,,,"pending","N",,,"030,040,050"
"540427C","FMP540427C","Offline","Jack Purcell Jane","Black/Gold","Low","Textile","Women","Jack Purcell","Sneakers","Jack Purcell","Jane",,"regular","Womens Size Chart","Runs true to size",,70,,0,,,11/01/13,"13 Holiday","Runout",102,,,,,,,,,"pending","N",,,"030,040,050"
"540425C","FMP540425C","Offline","Jack Purcell Jane","Black Mono","Low","Textile","Women","Jack Purcell","Sneakers","Jack Purcell","Jane",,"regular","Womens Size Chart","Runs true to size",,70,,0,,,11/01/13,"13 Holiday","Runout",116,,,,,,,,,"pending","N",,,"030,040,050"
"540421F","FMP540421F","Offline","Chuck Taylor All Star Side Zip","Black","Hi","Cotton","Women","All Star","Sneakers","Chuck Taylor- Seasonal","Heart Print",,"regular","Kids - Toddler","Runs a half-size large",,65,,0,,,06/01/13,"13 Fall","Runout",246,,,,,,,,,"pending","N",,,"030,040,050"
"540408F","FMP540408F","Offline","Chuck Taylor All Star Shoreline","White","Slip","Canvas","Women","All Star","Sneakers","Chuck Taylor - Iterations","Shoreline",,"regular","Womens Size Chart","Runs true to size",,50,,0,,,06/01/13,"13 Fall","Runout",280,,,,,,,,,"pending","N",,,"030,040,050"
"540407F","FMP540407F","Offline","Chuck Taylor All Star Shoreline","Black","Slip","Canvas","Women","All Star","Sneakers","Chuck Taylor - Iterations","Shoreline",,"regular","Womens Size Chart","Runs true to size",,50,,0,,,06/01/13,"13 Fall","Runout",360,,,,,,,,,"pending","N",,,"030,040,050"
"540389F","MP_2086","Offline","Chuck Taylor Snow Leopard","Black","Low","Textile","Women","All Star","Sneakers","Chuck Taylor- Seasonal                      ","Snow Leopard",,"regular","Womens Size Chart","Runs true to size",,55,,0,,,11/01/13,"13 Holiday","Runout",554,,,,,,,,,"pending","N",,,"030,040,050"
"540388F","MP_2086","Offline","Chuck Taylor Snow Leopard","White","Low","Textile","Women","All Star","Sneakers","Chuck Taylor- Seasonal                      ","Snow Leopard",,"regular","Womens Size Chart","Runs true to size",,55,,0,,,11/01/13,"13 Holiday","Runout",468,,,,,,,,,"pending","N",,,"030,040,050"
"540377F","FMP540377F","Offline","Chuck Taylor All Star Double Tongue","Black","Low","Canvas","Women","All Star","Sneakers","Chuck Taylor- Seasonal","Heart Print",,"regular","Womens Size Chart","Runs true to size",,50,,0,,,06/01/13,"13 Fall","Runout",308,,,,,,,,,"pending","N",,,"030,040,050"
