"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","ProductType","SizeChart","SizeChartMessaging","Price","SalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","FOB","APS","ProdManOnly","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","destCustomizeSKU","destCustomizeMetricID"
"05893C",,"Offline","Men's Fox Hoodie","Grapeleaf",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,25,,,,11/01/2013,"13 Holiday","Runout",51,,,,,0,,,"05893C","pending","N",,
"05219C",,"Offline","Men's Funnel Mixed Media Hooded","Jet Black",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,88,,,,12/01/2013,"13 Holiday","Runout",30,,,,,0,,,"05219C","pending","N",,
"R204M004","MP_1621","Online","Men's Garment Dyed Pullover Hoodie","Raven Grey",,"Cotton","Men",,"Apparel","Hoodies",,"regular","Standard Size Chart","Runs true to size",68,0,"Go Wide.


A big, warm hug around the neck with a hood to seal in the warmth. Garment dyed shawl neck hooded sweatshirt with single front pocket. Heavy weight cotton slub jersey material. 100% Cotton.





Made in China. Machine wash cold. Warning: Color fading may occur after wash.",40961,40962,"12 Spring","Runout",40,,,,,0,"7F7F7F",,"R310M204",,"N",,
"R204M300","MP_1621","Online","Men's Garment Dyed Pullover Hoodie","Evergreen",,"Cotton","Men",,"Apparel","Hoodies",,"regular","Standard Size Chart","Runs true to size",68,0,"Go Wide.


A big, warm hug around the neck with a hood to seal in the warmth. Garment dyed shawl neck hooded sweatshirt with single front pocket. Heavy weight cotton slub jersey material. 100% Cotton.





Made in China. Machine wash cold. Warning: Color fading may occur after wash.",40961,40962,"12 Spring","Runout",70,,,,,0,"6E8B3D",,"R310M204",,"N",,
"05320C",,"Offline","Men's Get Low  Crew Tee","Jet Black",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,09/01/2013,"13 Fall","Runout",25,,,,,0,,,"05320C","pending","N",,
"04829C",,"Online","Men's Give Metal A Chance Tee","Vintage Grey Heather",,"100% Cotton","Men",,"Apparel","Tees",,"regular","Standard Size Chart",,34,24.99,,,41244,"12 Holiday","Runout",,,,,,0,,,,,"N",,
"05896C",,"Offline","Men's Gold Tooth Skull Hoodie","Jet Black",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,25,,,,11/01/2013,"13 Holiday","Runout",78,,,,,0,,,"05896C","pending","N",,
"3375040C","MP_1915","Online","Men's Half Zip Pullover Hoodie","Castlerock Grey",,"Cotton","Men",,"Apparel","Hoodies",,"regular","Standard Size Chart","Runs true to size",68,49.99,"Go Wide.


A big, warm hug around the neck with a hood to seal in warmth and a half zip closure. Light weight cotton slub jersey material. 100% Cotton.





Made in China. Machine wash cold. Warning: Color fading may occur after wash.",,41306,"13 Spring","Runout",,,,,,0,969696,,"03375C",,"N",,
"3375358C","MP_1915","Online","Men's Half Zip Pullover Hoodie","Ivy Green",,"Cotton","Men",,"Apparel","Hoodies",,"regular","Standard Size Chart","Runs true to size",68,49.99,"Go Wide.


A big, warm hug around the neck with a hood to seal in warmth and a half zip closure. Light weight cotton slub jersey material. 100% Cotton.





Made in China. Machine wash cold. Warning: Color fading may occur after wash.",,41306,"13 Spring","Runout",,,,,,0,308014,,"03375C",,"N",,
"098040C",,"Online","Men's Handcuff V-Neck Tee","Castlerock",,"100% Cotton","Men",,"Apparel","Tees",,"regular","Standard Size Chart",,38,26.99,,41081,41053,"12 Summer","Runout",,,,,,0,,,,,"N",,
"05334C",,"Offline","Men's Hands Crew Tee","Vintage Grey",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,08/01/2013,"13 Fall","Runout",23,,,,,0,,,"05334C","pending","N",,
1590001,"MP_1710","Online","Men's Heathered Chuck Patch Tee","Jet Black",,"100% Cotton","Men",,"Apparel","Tees",,"regular","Standard Size Chart","Runs true to size",25,0,"From the feet up.


The iconic Chuck Taylor All Star patch makes its way from the sneaker to the shirt. 100% heathered cotton tee. Made in Mexico. Machine wash cold.",41159,41114,"12 Fall","Runout",,,,,,0,0,,,,"N",,
1590035,"MP_1710","Online","Men's Heathered Chuck Patch Tee","Vintage Grey Heather",,"100% Cotton","Men",,"Apparel","Tees",,"regular","Standard Size Chart","Runs true to size",25,0,"From the feet up.


The iconic Chuck Taylor All Star patch makes its way from the sneaker to the shirt. 100% heathered cotton tee. Made in Mexico. Machine wash cold.",41122,41122,"12 Fall","Runout",,,,,,0,"ADADAD",,,,"N",,
1590100,"MP_1710","Online","Men's Heathered Chuck Patch Tee","Bright White",,"100% Cotton","Men",,"Apparel","Tees",,"regular","Standard Size Chart","Runs true to size",25,0,"From the feet up.


The iconic Chuck Taylor All Star patch makes its way from the sneaker to the shirt. 100% heathered cotton tee. Made in Mexico. Machine wash cold.",41159,41114,"12 Fall","Runout",,,,,,0,"FFFFFF",,,,"N",,
"015354C","MP_1710","Online","Men's Heathered Chuck Patch Tee","Dark Spruce Heather",,"100% Cotton","Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,0,"From the feet up.


The iconic Chuck Taylor All Star patch makes its way from the sneaker to the shirt. 100% heathered cotton tee. Made in Mexico. Machine wash cold.",41060,41053,"12 Summer","Runout",,,,,,0,"698B69",,,,"N",,
9002267,,"Offline","Men's Hi Top Chuck Sock 3Pk","White",,,"Men",,"Accessories","Socks",,"regular","Standard Size Chart",,13,,,,11/01/2013,"13 Holiday","Runout",432,,,,,0,,,,"pending","N",,
9002268,,"Offline","Men's Hi Top Chuck Sock 3Pk","Black",,,"Men",,"Accessories","Socks",,"regular","Standard Size Chart",,13,,,,11/01/2013,"13 Holiday","Runout",360,,,,,0,,,,"pending","N",,
"03423C",,"Online","Men's Jaspe Stripe Shirt","Navy/Multi",,"Cotton","Men",,"Apparel","Shirts",,"regular","Standard Size Chart",,68,49.99,,41297,41306,"13 Spring","Runout",,,,,,0,,,"03423C",,"N",,
"5313001C",,"Offline","Men's License Plate Crew Tee","Jet Black",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,07/01/2013,"13 Fall","Runout",52,,,,,0,,,"05313C","pending","N",,
"5313035C",,"Offline","Men's License Plate Crew Tee","Vintage Grey",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,07/01/2013,"13 Fall","Runout",32,,,,,0,,,"05313C","pending","N",,
"5313110C",,"Offline","Men's License Plate Crew Tee","Optic White",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,07/01/2013,"13 Fall","Runout",36,,,,,0,,,"05313C","pending","N",,
"5313472C",,"Offline","Men's License Plate Crew Tee","Midnight Lake",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,07/01/2013,"13 Fall","Runout",32,,,,,0,,,"05313C","pending","N",,
"4797001C",,"Offline","Men's License Plate Tee","Jet Black",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,12/01/2013,"13 Holiday","Runout",75,,,,,0,,,"04797C","pending","N",,
"4797030C",,"Offline","Men's License Plate Tee","Charcoal Grey",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,12/01/2013,"13 Holiday","Runout",69,,,,,0,,,"04797C","pending","N",,
"05892C",,"Offline","Men's Lightning Hoodie","Black Heather",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,25,,,,12/01/2013,"13 Holiday","Runout",45,,,,,0,,,"05892C ","pending","N",,
"05399C",,"Offline","Men's Mic & Headset Crew Tee","Jet Black",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,07/01/2013,"13 Fall","Runout",56,,,,,0,,,"05399C","pending","N",,
"03097C",,"Online","Men's Military Jacket","Navy Blue",,"Cotton","Men",,"Apparel","Jackets",,"regular","Standard Size Chart",,138,84.99,,41312,41306,"13 Spring","Runout",,,,,,0,,,"03097C",,"N",,
"05336C",,"Offline","Men's Mixed Image Crew Tee","Jet Black",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,08/01/2013,"13 Fall","Runout",31,,,,,0,,,"05336C","pending","N",,
"5653358C","MP_1869","Online","Men's Music Tee","Ivy Green",,"100% Cotton","Men",,"Apparel","Tees",,"regular","Standard Size Chart","Runs true to size",25,19.99,"Music Graphic Tee.


100% cotton tee. Made in Mexico. Machine wash cold.",41306,,"13 Spring","Runout",,,,,,0,808000,,"05653C",,"N",,
