"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","Sleeve","ProductType","SizeChart","SizeChartMessaging","Price","SalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","InspirationID","FOB","APS","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","dyoVersionProductID","dyoVersionInspirationID"
"136849C","MP_2074","Online","Chuck Taylor All Star","Deep Ultramarine","Low","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Stonewashed",,"regular","Chuck Size Chart","Runs a half-size large",55.00,0.00,,,04/01/13,"13 Summer","Runout",600,,,,,,,,,,"N",,
"136848C","MP_2074","Online","Chuck Taylor All Star","Black","Low","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Stonewashed",,"regular","Chuck Size Chart","Runs a half-size large",55.00,0.00,,,04/01/13,"13 Summer","Runout",707,,,,,,,,,,"N",,
"136846C","MP_2065","Online","Chuck Taylor All Star","Jester Red","Hi","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Stonewashed",,"regular","Chuck Size Chart","Runs a half-size large",60.00,0.00,,,04/01/13,"13 Summer","Runout",271,,,,,,,,,,"N",,
"136845C","MP_2065","Online","Chuck Taylor All Star","Deep Ultramarine","Hi","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Stonewashed",,"regular","Chuck Size Chart","Runs a half-size large",60.00,0.00,,,04/01/13,"13 Summer","Runout",973,,,,,,,,,,"N",,
"136844C","MP_2065","Online","Chuck Taylor All Star","Black","Hi","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Stonewashed",,"regular","Chuck Size Chart","Runs a half-size large",60.00,0.00,,,04/01/13,"13 Summer","Runout",667,,,,,,,,,,"N",,
"136820F","MP_154","Online","Chuck Taylor All Star","Red Clay","Low","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal                      ","Seasonals",,"regular","Chuck Size Chart","Runs a half-size large",50.00,0.00,,,,"12 Holiday","Runout",,,,,,,,,,"pending","N",,
"136818F","MP_154","Online","Chuck Taylor All Star","Olive Drab","Low","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Seasonals",,"regular","Chuck Size Chart","Runs a half-size large",50.00,0.00,,12/17/12,12/01/12,"12 Holiday","Runout",448,,,,,,"556B2F",,,,"N",,
"136816C","MP_154","Online","Chuck Taylor All Star","A Blue","Low","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Seasonals",,"regular","Chuck Size Chart","Runs a half-size large",50.00,0.00,,12/18/12,12/01/12,"12 Holiday","Runout",810,,,,,,"3D59AB",,,,"N",,
"136815F","MP_148","Online","Chuck Taylor All Star","Red Clay","Hi","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Seasonals",,"regular","Chuck Size Chart","Runs a half-size large",55.00,0.00,,12/17/12,12/01/12,"12 Holiday","Runout",480,,,,,,"CD3700",,,,"N",,
"136814C","MP_148","Online","Chuck Taylor All Star","Peach Cobbler","Hi","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Seasonals",,"regular","Chuck Size Chart","Runs a half-size large",55.00,0.00,,12/17/12,12/01/12,"12 Holiday","Runout",122,,,,,,"DEB887",,,,"N",,
